bet_id,date,event,fighter_red,fighter_blue,pick,odds,stake,model_probability,kelly_fraction,edge,ev,status,result,profit,roi
1,2025-12-02 16:31,UFC 323: Dvalishvili vs. Yan 2,Jan Blachowicz,Bogdan Guskov,Jan Blachowicz,1.74,35.82960582960585,0.7270914270914272,10.0,0.1523787834132662,0.2651390831390832,closed,void,0.0,0.0
2,2025-12-03 15:38,UFC 323: Dvalishvili vs. Yan 2,Terrance McKinney,Chris Duncan,Terrance McKinney,2.45,50.0,0.4371452091058158,20.0,0.0289819437996933,0.0710057623092488,closed,loss,-50.0,-100.0
3,2025-12-03 15:38,UFC 323: Dvalishvili vs. Yan 2,Maycee Barber,Karine Silva,Maycee Barber,1.57,50.0,0.6597657956565763,20.0,0.0228231204973407,0.0358322991808248,closed,win,28.500000000000004,57.00000000000001
4,2025-12-06 15:59,UFC 323: Dvalishvili vs. Yan 2,Alexandre Pantoja,Joshua Van,Joshua Van,2.84,50.0,0.3728596344353005,20.0,0.0207469583789625,0.0589213617962536,closed,win,92.0,184.0
5,2025-12-06 15:59,UFC 323: Dvalishvili vs. Yan 2,Henry Cejudo,Payton Talbott,Payton Talbott,1.4,50.0,0.7455685043237541,20.0,0.0312827900380398,0.0437959060532557,closed,win,20.0,39.99999999999999
6,2025-12-06 15:59,UFC 323: Dvalishvili vs. Yan 2,Marvin Vettori,Brunno Ferreira,Marvin Vettori,1.82,50.0,0.5783082132051048,20.0,0.0288576637545554,0.0525209480332908,closed,loss,-50.0,-100.0
7,2025-12-07 11:26,UFC Fight Night: Royval vs. Kape,Jamey-Lyn Horth,Tereza Bleda,Tereza Bleda,1.67,35.74267257946828,0.6367021119093885,2.75,0.0378997166998076,0.0632925268886788,closed,loss,-35.74267257946828,-100.0
8,2025-12-07 11:26,UFC Fight Night: Royval vs. Kape,Kennedy Nzechukwu,Marcus Buchecha,Kennedy Nzechukwu,1.65,45.388704951908025,0.6533177872535265,2.75,0.0472571811929204,0.0779743489683186,closed,loss,-45.388704951908025,-100.0
9,2026-02-02 21:55,UFC Fight Night: Bautista vs. Oliveira,Amir Albazi,Kyoji Horiguchi,Amir Albazi,3.75,20.76099282271928,0.3103078711129307,2.75,0.043641204446264,0.1636545166734899,closed,loss,-20.76099282271928,-100.0
10,2026-02-19 12:07,UFC Fight Night: Strickland vs. Hernandez,Serghei Spivac,Ante Delija,Serghei Spivac,2.13,24.471523965072087,0.5075207619046446,2.75,0.0380371938295271,0.0810192228568928,closed,win,27.652822080531458,113.0
11,2026-02-21 22:03,UFC Fight Night: Strickland vs. Hernandez,Zach Reese,Michel Pereira,Zach Reese,2.48,20.34252432055776,0.4387941378793871,2.75,0.0355683314277741,0.0882094619408799,closed,loss,-20.34252432055776,-100.0
12,2026-02-22 12:37,UFC Fight Night: Moreno vs. Kavanagh,Daniel Zellhuber,King Green,Daniel Zellhuber,1.2,73.47795706374845,0.868936207548763,2.75,0.0356028742154296,0.0427234490585155,closed,void,0.0,0.0
13,2026-02-22 12:40,UFC Fight Night: Moreno vs. Kavanagh,Edgar Chairez,Felipe Bunes,Edgar Chairez,1.35,50.853832311112455,0.7790705978161687,2.75,0.038329857075428,0.0517453070518278,closed,win,17.798841308889365,35.00000000000001
14,2026-02-26 19:42,UFC Fight Night: Moreno vs. Kavanagh,Marlon Vera,David Martinez,Marlon Vera,3.48,13.75159070439401,0.3391577725580594,5.0,0.0518014507189789,0.1802690485020466,closed,void,0.0,0.0
15,2026-02-26 19:43,UFC Fight Night: Moreno vs. Kavanagh,Cristian Quinonez,Kris Moutinho,Cristian Quinonez,1.15,59.10325244930084,0.9103146294773676,5.0,0.0407494120860633,0.0468618238989728,closed,void,0.0,0.0
16,2026-02-28 14:09,UFC Fight Night: Moreno vs. Kavanagh,Daniel Zellhuber,King Green,Daniel Zellhuber,1.26,102.34785282455351,0.8550497198921847,2.75,0.061398926241391,0.0773626470641526,closed,loss,-102.34785282455351,-100.0
17,2026-03-25 01:44,UFC Fight Night: Adesanya vs. Pyfer,Terrance McKinney,Kyle Nelson,Terrance McKinney,1.6,31.265342287853365,0.6624315622952642,2.75,0.0374315622952642,0.0598904996724227,open,,0.0,0.0
18,2026-03-25 01:45,UFC Fight Night: Adesanya vs. Pyfer,Ignacio Bahamondes,Tofiq Musayev,Ignacio Bahamondes,1.35,59.66327211542852,0.7901245790506236,2.75,0.0493838383098829,0.0666681817183418,open,,0.0,0.0
19,2026-03-25 01:46,UFC Fight Night: Adesanya vs. Pyfer,Casey O'Neill,Gabriella Fernandes,Casey O'Neill,2.05,31.988198007467872,0.5401129499588055,2.75,0.052308071910025,0.1072315474155511,closed,win,33.58760790784126,104.99999999999999
