iter	Logloss
0	0.6864935948
1	0.6802011112
2	0.6745818605
3	0.6693725089
4	0.6648936415
5	0.6603946789
6	0.6563966827
7	0.6530281311
8	0.6497991626
9	0.646437547
10	0.6441097548
11	0.641451502
12	0.6390611606
13	0.6369892718
14	0.6345227557
15	0.6328761433
16	0.6310619468
17	0.629312236
18	0.6277465042
19	0.6263268448
20	0.6250780993
21	0.6238664032
22	0.6224986906
23	0.6215801822
24	0.6206028292
25	0.6195235258
26	0.618645753
27	0.6178195084
28	0.6169672445
29	0.6161130103
30	0.6154083327
31	0.6148144846
32	0.614099986
33	0.6134289475
34	0.6127892558
35	0.6121216508
36	0.6117067293
37	0.6111314086
38	0.6107454476
39	0.6101588838
40	0.6098417695
41	0.6094476508
42	0.6089511844
43	0.6086266717
44	0.6082354919
45	0.6076749354
46	0.6072655274
47	0.6068181908
48	0.6063495483
49	0.6059334869
50	0.6056287901
51	0.6052159395
52	0.6048451623
53	0.6045000288
54	0.6041407989
55	0.603870577
56	0.6034459588
57	0.6031115038
58	0.6028245716
59	0.6025604083
60	0.6023170412
61	0.6019365538
62	0.6013915637
63	0.600972329
64	0.6008512078
65	0.6005841966
66	0.6001991116
67	0.5999179989
68	0.5996372671
69	0.5993407629
70	0.5990058435
71	0.5985194301
72	0.5982766053
73	0.597993693
74	0.597655387
75	0.5974084755
76	0.5970936171
77	0.5968401206
78	0.5964964106
79	0.5963264553
80	0.5961249119
81	0.5958835131
82	0.5956538531
83	0.5953479936
84	0.5950410032
85	0.5946929003
86	0.59445906
87	0.5942245468
88	0.5940308202
89	0.5937482274
90	0.5934528428
91	0.5931885052
92	0.5927585859
93	0.5925875261
94	0.5922962785
95	0.5919922518
96	0.5917799725
97	0.5914388266
98	0.5909913317
99	0.5906981789
100	0.5903354478
101	0.5900939833
102	0.5898949012
103	0.5896642089
104	0.5894120511
105	0.5891807267
106	0.5889485905
107	0.588743568
108	0.5885781167
109	0.5883568597
110	0.5880691289
111	0.5878401145
112	0.58765538
113	0.5873660274
114	0.5871905978
115	0.5868067637
116	0.5865296948
117	0.5863502456
118	0.5860338074
119	0.5856365412
120	0.5854404606
