iter	Passed	Remaining
0	4	2923
1	7	2117
2	9	1809
3	11	1655
4	13	1559
5	15	1501
6	17	1457
7	19	1420
8	21	1391
9	23	1369
10	25	1351
11	27	1337
12	29	1322
13	31	1308
14	33	1299
15	35	1288
16	37	1280
17	39	1271
18	41	1265
19	43	1259
20	45	1250
21	47	1245
22	49	1240
23	51	1237
24	53	1234
25	55	1230
26	57	1225
27	59	1221
28	61	1217
29	63	1214
30	65	1211
31	68	1207
32	70	1206
33	72	1205
34	75	1211
35	77	1215
36	80	1219
37	82	1222
38	85	1225
39	87	1225
40	90	1228
41	92	1229
42	95	1231
43	97	1233
44	100	1234
45	102	1236
46	105	1237
47	107	1236
48	109	1233
49	112	1232
50	114	1231
51	116	1229
52	118	1227
53	121	1226
54	123	1224
55	125	1222
56	128	1220
57	130	1218
58	132	1216
59	134	1214
60	137	1211
61	139	1209
62	141	1207
63	143	1205
64	146	1203
65	148	1200
66	150	1198
67	152	1196
68	155	1196
69	157	1195
70	160	1194
71	162	1192
72	165	1191
73	167	1190
74	169	1188
75	172	1187
76	174	1186
77	177	1184
78	179	1183
79	181	1181
80	184	1180
81	186	1178
82	188	1176
83	191	1174
84	193	1173
85	196	1171
86	198	1169
87	200	1168
88	203	1166
89	205	1164
90	207	1163
91	210	1161
92	212	1159
93	215	1157
94	217	1155
95	219	1153
96	222	1151
97	224	1149
98	226	1146
99	228	1144
100	231	1142
101	233	1140
102	235	1137
103	238	1135
104	240	1133
105	242	1131
106	245	1129
107	247	1126
108	249	1124
109	251	1121
110	254	1120
111	256	1118
112	259	1116
113	261	1114
114	263	1111
115	265	1109
116	268	1107
117	270	1104
118	272	1102
119	275	1100
120	277	1098
121	279	1095
122	282	1093
123	284	1091
124	286	1089
125	288	1087
126	291	1084
127	293	1082
128	295	1080
129	298	1077
130	300	1075
131	302	1073
132	304	1070
133	307	1068
134	309	1066
135	311	1063
136	314	1061
137	316	1059
138	318	1057
139	320	1054
140	323	1052
141	325	1049
142	327	1047
143	330	1045
144	332	1042
145	334	1040
146	336	1038
147	339	1036
148	341	1033
149	343	1031
150	346	1029
151	348	1027
152	350	1025
153	353	1022
154	355	1020
155	357	1018
156	360	1016
157	362	1014
158	364	1011
159	366	1009
160	369	1006
161	371	1004
162	373	1002
163	376	999
164	378	997
165	380	995
166	382	993
167	385	990
168	387	988
169	389	986
170	392	983
171	394	981
172	396	979
173	399	977
174	401	975
175	403	972
176	406	970
177	408	968
178	410	966
179	413	963
180	415	961
181	417	959
182	419	957
183	422	954
184	424	952
185	426	950
186	429	947
187	431	945
188	433	943
189	436	941
190	438	938
191	440	936
192	443	934
193	445	931
194	447	929
195	449	927
196	452	925
197	454	922
198	456	920
199	459	918
200	461	916
201	463	913
202	465	911
203	468	908
204	470	906
205	472	904
206	475	901
207	477	899
208	479	897
209	481	894
210	484	892
211	486	890
212	488	888
213	491	885
214	493	883
215	495	881
216	498	879
217	500	876
218	502	874
219	504	872
220	507	869
221	509	867
222	511	865
223	514	862
224	516	860
225	518	858
226	520	856
227	523	853
228	525	851
229	527	848
230	529	846
231	532	844
232	534	841
233	536	839
234	538	837
235	541	834
236	543	832
237	545	830
238	548	827
239	550	825
240	552	823
241	554	820
242	557	818
243	559	816
244	561	813
245	564	811
246	566	809
247	568	807
248	571	804
249	573	802
250	575	800
251	577	798
252	580	795
253	582	793
254	584	791
255	587	788
256	589	786
257	591	784
258	594	782
259	596	779
260	598	777
261	600	775
262	603	772
263	605	770
264	607	768
265	609	765
266	612	763
267	614	761
268	616	759
269	619	756
270	621	754
271	623	752
272	625	749
273	628	747
274	630	745
275	632	742
276	635	740
277	637	738
278	639	736
279	642	733
280	644	731
281	646	729
282	648	726
283	651	724
284	653	722
285	655	719
286	657	717
287	660	715
288	662	712
289	664	710
290	666	708
291	669	705
292	671	703
293	673	701
294	676	698
295	678	696
296	680	694
297	682	692
298	685	689
299	687	687
300	689	685
301	692	683
302	694	680
303	696	678
304	699	676
305	701	673
306	703	671
307	705	669
308	708	667
309	710	664
310	712	662
311	715	660
312	717	657
313	719	655
314	722	653
315	724	651
316	726	648
317	728	646
318	731	644
319	733	641
320	735	639
321	738	637
322	740	635
323	742	632
324	745	630
325	747	628
326	749	625
327	752	623
328	754	621
329	756	619
330	759	617
331	761	614
332	763	612
333	766	610
334	768	607
335	770	605
336	772	603
337	775	600
338	777	598
339	779	596
340	781	593
341	784	591
342	786	589
343	788	587
344	791	584
345	793	582
346	795	580
347	797	577
348	800	575
349	802	573
350	804	570
351	807	568
352	809	566
353	811	564
354	813	561
355	816	559
356	818	557
357	820	554
358	823	552
359	825	550
360	827	547
361	829	545
362	832	543
363	834	541
364	836	538
365	839	536
366	841	534
367	843	531
368	845	529
369	848	527
370	850	524
371	852	522
372	855	520
373	857	518
374	859	515
375	862	513
376	864	511
377	866	508
378	868	506
379	871	504
380	873	502
381	875	499
382	878	497
383	880	495
384	882	493
385	885	490
386	887	488
387	889	486
388	892	483
389	894	481
390	896	479
391	898	476
392	901	474
393	903	472
394	905	470
395	908	467
396	910	465
397	913	463
398	915	461
399	918	459
400	920	456
401	923	454
402	925	452
403	928	450
404	930	448
405	933	445
406	935	443
407	938	441
408	941	439
409	944	437
410	946	435
411	949	433
412	951	430
413	954	428
414	956	426
415	959	424
416	961	421
417	964	419
418	966	417
419	968	415
420	971	412
421	973	410
422	976	408
423	978	406
424	980	403
425	983	401
426	985	399
427	988	397
428	990	394
429	993	392
430	995	390
431	997	388
432	1000	385
433	1002	383
434	1005	381
435	1007	379
436	1010	376
437	1012	374
438	1014	372
439	1017	369
440	1019	367
441	1021	365
442	1024	363
443	1026	360
444	1029	358
445	1031	356
446	1034	353
447	1036	351
448	1038	349
449	1041	347
450	1043	344
451	1046	342
452	1048	340
453	1050	337
454	1053	335
455	1055	333
456	1058	331
457	1060	328
458	1063	326
459	1067	324
460	1070	322
461	1074	320
462	1084	320
463	1087	318
464	1091	316
465	1094	314
466	1098	312
467	1101	310
468	1104	308
469	1108	306
470	1111	304
471	1115	302
472	1118	300
473	1122	298
474	1125	296
475	1128	293
476	1131	291
477	1133	289
478	1136	287
479	1138	284
480	1142	282
481	1145	280
482	1148	278
483	1151	275
484	1153	273
485	1156	271
486	1158	268
487	1160	266
488	1163	264
489	1165	261
490	1168	259
491	1170	257
492	1173	254
493	1175	252
494	1177	249
495	1180	247
496	1182	245
497	1185	242
498	1187	240
499	1190	238
500	1192	235
501	1194	233
502	1197	230
503	1199	228
504	1202	226
505	1204	223
506	1207	221
507	1209	219
508	1211	216
509	1214	214
510	1216	211
511	1219	209
512	1221	207
513	1223	204
514	1226	202
515	1228	200
516	1231	197
517	1233	195
518	1236	192
519	1238	190
520	1240	188
521	1243	185
522	1245	183
523	1248	181
524	1250	178
525	1253	176
526	1255	173
527	1257	171
528	1260	169
529	1262	166
530	1265	164
531	1267	162
532	1270	159
533	1272	157
534	1275	154
535	1277	152
536	1280	150
537	1282	147
538	1284	145
539	1287	143
540	1289	140
541	1292	138
542	1294	135
543	1296	133
544	1299	131
545	1301	128
546	1304	126
547	1306	123
548	1309	121
549	1311	119
550	1313	116
551	1316	114
552	1318	112
553	1321	109
554	1323	107
555	1325	104
556	1328	102
557	1330	100
558	1332	97
559	1335	95
560	1337	92
561	1339	90
562	1342	88
563	1344	85
564	1346	83
565	1348	81
566	1351	78
567	1353	76
568	1355	73
569	1358	71
570	1360	69
571	1362	66
572	1364	64
573	1367	61
574	1369	59
575	1371	57
576	1374	54
577	1376	52
578	1378	50
579	1380	47
580	1383	45
581	1385	42
582	1387	40
583	1390	38
584	1392	35
585	1394	33
586	1396	30
587	1399	28
588	1401	26
589	1403	23
590	1406	21
591	1408	19
592	1410	16
593	1412	14
594	1415	11
595	1417	9
596	1419	7
597	1421	4
598	1424	2
599	1426	0
