Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,Status,Odds_source,B365_1,B365_2,Pinnacle_1,Pinnacle_2,Avg_1,Avg_2,Max_1,Max_2,Betfair_1,Betfair_2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Baccanello P.,Escude N.,Escude N.,655.0,40.0,,,-1.0,-1.0,7-6 5-7 3-6,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Clement A.,Enqvist T.,Enqvist T.,56.0,5.0,,,-1.0,-1.0,3-6 3-6,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Arthurs W.,Gambill J.M.,58.0,105.0,,,-1.0,-1.0,3-6 7-6 6-4,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Goldstein P.,Vinck C.,Vinck C.,88.0,227.0,,,-1.0,-1.0,6-3 3-6 4-6,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Henman T.,Balcells J.,Henman T.,11.0,218.0,,,-1.0,-1.0,6-4 7-6,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Hewitt L.,Woodforde M.,Hewitt L.,24.0,129.0,,,-1.0,-1.0,6-3 2-6 6-1,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Ilie A.,Grosjean S.,Grosjean S.,51.0,26.0,,,-1.0,-1.0,2-6 1-6,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Knippschild J.,Federer R.,Federer R.,87.0,65.0,,,-1.0,-1.0,1-6 4-6,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Dosedel S.,Dosedel S.,77.0,63.0,,,-1.0,-1.0,4-6 2-6,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Norman M.,Draper S.,Norman M.,15.0,155.0,,,-1.0,-1.0,6-4 6-4,completed,missing,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
