Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,Status,Odds_source,B365_1,B365_2,Pinnacle_1,Pinnacle_2,Avg_1,Avg_2,Max_1,Max_2,Betfair_1,Betfair_2
Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Benesova I.,Bremond S.,Bremond S.,58.0,40.0,402.25,521.0,2.0,1.72,6-0 4-6 2-6,completed,bet365,2.0,1.72,2.24,1.746,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Camerin M.E.,Vesnina E.,Vesnina E.,50.0,47.0,426.5,445.25,2.25,1.57,3-6 2-6,completed,bet365,2.25,1.57,2.3,1.714,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Castano C.,Golds S.,Castano C.,54.0,599.0,420.75,20.75,1.14,5.0,6-3 6-4,completed,bet365,1.14,5.0,1.143,7.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Ferguson S.,Sugiyama A.,Ferguson S.,184.0,26.0,146.5,716.0,5.0,1.14,7-6 6-4,completed,bet365,5.0,1.14,5.25,1.215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Hingis M.,Bammer S.,Hingis M.,7.0,49.0,2018.0,430.25,1.08,6.5,6-0 6-2,completed,bet365,1.08,6.5,1.095,9.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Ivanova E.,Sequera M.,Sequera M.,183.0,103.0,148.25,280.25,2.1,1.66,4-6 2-6,completed,bet365,2.1,1.66,2.35,1.69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,Bartoli M.,18.0,180.0,951.0,152.0,1.16,4.5,7-6 6-3,completed,bet365,1.16,4.5,1.185,5.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Dulko G.,Myskina A.,Dulko G.,59.0,16.0,401.75,1000.0,3.75,1.22,6-1 6-7 6-2,completed,bet365,3.75,1.22,4.7,1.244,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Johansson M.,Laine E.,Laine E.,140.0,74.0,204.5,349.75,2.37,1.53,6-7 1-6,completed,bet365,2.37,1.53,2.63,1.578,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Kanepi K.,Razzano V.,Razzano V.,78.0,88.0,343.5,319.0,1.83,1.83,6-7 1-6,completed,bet365,1.83,1.83,1.917,1.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
