Date,Tournament,Series,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Score
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Kecmanovic M.,Kovacevic A.,Kecmanovic M.,48,79,1161,800,6-4 6-4
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Ugo Carabelli C.,Holt B.,Ugo Carabelli C.,65,116,870,528,2-6 7-6 6-4
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,McDonald M.,Kyrgios N.,Kyrgios N.,101,892,575,20,6-3 3-6 4-6
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Munar J.,Rinderknech A.,Munar J.,56,74,992,821,6-3 7-6
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Sakamoto R.,Muller A.,Muller A.,330,41,157,1287,4-6 4-6
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,O Connell C.,Carballes Baena R.,Carballes Baena R.,78,53,805,1051,3-6 6-3 6-7
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Moutet C.,Blockx A.,Moutet C.,76,163,814,354,7-6 6-4
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Cina F.,Comesana F.,Cina F.,441,67,105,866,7-6 7-6
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Medjedovic H.,Hijikata R.,Hijikata R.,73,86,829,752,5-7 6-3 5-7
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Bublik A.,Baez S.,Bublik A.,80,36,785,1385,6-3 6-4
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Vukic A.,Goffin D.,Goffin D.,77,55,814,1003,6-2 4-6 2-6
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Bellucci M.,Tseng C.H.,Tseng C.H.,72,115,838,529,6-7 2-6
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Marozsan F.,Monfils G.,Monfils G.,59,46,965,1230,3-6 6-3 4-6
2025-03-19,Miami Open,Masters 1000,Hard,1st Round,3,Schoolkate T.,Quinn E.,Schoolkate T.,129,135,450,432,6-0 6-2
2025-03-20,Miami Open,Masters 1000,Hard,1st Round,3,Safiullin R.,Brooksby J.,Safiullin R.,71,544,851,67,6-3 3-6 6-3
2025-03-20,Miami Open,Masters 1000,Hard,1st Round,3,Navone M.,Sonego L.,Sonego L.,62,38,925,1356,5-7 5-7
2025-03-20,Miami Open,Masters 1000,Hard,1st Round,3,Fonseca J.,Tien L.,Fonseca J.,60,66,955,867,6-7 6-3 6-4
2025-03-20,Miami Open,Masters 1000,Hard,1st Round,3,Struff J.L.,Davidovich Fokina A.,Davidovich Fokina A.,49,39,1160,1325,6-7 3-6
