Date,Tournament,Series,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Score
2024-01-01,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Bonzi B.,Ruusuvuori E.,Ruusuvuori E.,73,69,738,771,7-6 2-6 1-6
2024-01-01,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Van De Zandschulp B.,Mochizuki S.,Van De Zandschulp B.,50,137,930,457,7-5 6-1
2024-01-01,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Kotov P.,Borges N.,Kotov P.,67,66,791,799,6-2 6-4
2024-01-01,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Djere L.,Shang J.,Shang J.,33,183,1285,335,7-6 3-6 6-7
2024-01-01,Brisbane International,ATP250,Hard,1st Round,3,Safiullin R.,Shelton B.,Safiullin R.,39,17,1122,2145,6-3 6-7 6-3
2024-01-01,Brisbane International,ATP250,Hard,1st Round,3,Dimitrov G.,Murray A.,Dimitrov G.,14,42,2570,1050,4-6 7-5 6-2
2024-01-01,Brisbane International,ATP250,Hard,1st Round,3,Purcell M.,Rune H.,Rune H.,45,8,1012,3660,6-4 4-6 2-6
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Fucsovics M.,Arnaldi M.,Arnaldi M.,59,44,882,1021,7-6 4-6 6-7
2024-01-02,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Daniel T.,Kecmanovic M.,Kecmanovic M.,75,54,737,905,3-6 2-6
2024-01-02,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Broady L.,Cachin P.,Broady L.,108,70,608,763,6-4 6-0
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Wolf J.J.,Duckworth J.,Duckworth J.,53,116,910,573,3-6 4-6
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Altmaier D.,Tu L.,Altmaier D.,56,225,891,280,7-6 7-6
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Etcheverry T.,Machac T.,Machac T.,30,78,1375,722,7-6 5-7 6-7
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Thompson J.,Vukic A.,Thompson J.,55,62,902,835,6-3 6-2
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Nadal R.,Thiem D.,Nadal R.,672,98,45,652,7-5 6-1
2024-01-02,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Gojo B.,Fils A.,Fils A.,72,36,744,1158,3-6 6-4 1-6
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Klein L.,Baez S.,Klein L.,170,28,359,1435,4-6 6-3 6-4
2024-01-02,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Mcdonald M.,Ofner S.,Ofner S.,41,43,1055,1048,1-6 2-6
2024-01-02,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Struff J.L.,Cilic M.,Struff J.L.,25,674,1522,45,3-6 7-6 7-6
2024-01-02,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Marozsan F.,Bautista Agut R.,Bautista Agut R.,64,57,805,886,2-6 3-6
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Kokkinakis T.,Hijikata R.,Hijikata R.,65,71,802,744,6-7 2-6
2024-01-02,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Musetti L.,Wong C.,Musetti L.,27,253,1470,238,6-4 7-5
2024-01-02,Brisbane International,ATP250,Hard,1st Round,3,Korda S.,Hanfmann Y.,Hanfmann Y.,24,51,1530,914,5-7 4-6
2024-01-02,Hong Kong Tennis Open,ATP250,Hard,1st Round,3,Huesler M.A.,Sachko V.,Huesler M.A.,194,169,312,360,6-4 6-4
2024-01-03,Brisbane International,ATP250,Hard,2nd Round,3,Hanfmann Y.,Duckworth J.,Duckworth J.,51,116,914,573,6-4 1-6 6-7
