event_date,fighter_1,fighter_2,bet_side,bet_fighter,odds,stake,p_model,p_market,edge,ev,won,profit,bankroll,clv,month,year
2015-01-03,Brad Tavares,Nate Marquardt,1,Brad Tavares,1.769,45.44,0.6442,0.5543,0.09,0.1398,1,34.95,1034.95,0.1398,2015-01,2015
2015-01-03,Jon Jones,Daniel Cormier,1,Jon Jones,1.521,62.36,0.7401,0.6456,0.0945,0.1255,1,32.48,1067.43,0.1255,2015-01,2015
2015-01-03,Alexis Dufresne,Marion Reneau,1,Alexis Dufresne,1.455,69.76,0.7692,0.6735,0.0957,0.1188,0,-69.76,997.67,0.1188,2015-01,2015
2015-01-03,Omari Akhmedov,Mats Nilsson,1,Omari Akhmedov,1.5,32.24,0.7097,0.6552,0.0546,0.0646,1,16.12,1013.79,0.0646,2015-01,2015
2015-01-18,Johnny Case,Frankie Perez,1,Johnny Case,1.606,18.38,0.65,0.6136,0.0364,0.0439,1,11.14,1024.92,0.0439,2015-01,2015
2015-01-18,Paddy Holohan,Shane Howell,1,Paddy Holohan,1.29,35.7,0.8066,0.7629,0.0437,0.0404,1,10.35,1035.27,0.0404,2015-01,2015
2015-01-18,John Howard,Lorenz Larkin,1,John Howard,2.67,6.3,0.3898,0.3691,0.0207,0.0407,0,-6.3,1028.97,0.0407,2015-01,2015
2015-01-18,Cathal Pendred,Sean Spencer,1,Cathal Pendred,2.6,16.28,0.4236,0.3792,0.0444,0.1013,1,26.06,1055.02,0.1013,2015-01,2015
2015-01-18,Donald Cerrone,Benson Henderson,1,Donald Cerrone,2.25,16.76,0.4797,0.4362,0.0435,0.0794,1,20.95,1075.97,0.0794,2015-01,2015
2015-01-18,Norman Parke,Gleison Tibau,1,Norman Parke,2.4,24.44,0.4697,0.4098,0.0598,0.1272,0,-24.44,1051.54,0.1272,2015-01,2015
2015-01-18,Matt Van Buren,Sean O'Connell,1,Matt Van Buren,3.15,18.85,0.3664,0.3116,0.0548,0.1542,0,-18.85,1032.69,0.1542,2015-01,2015
2015-01-24,Viktor Pesta,Konstantin Erokhin,1,Viktor Pesta,4.8,20.26,0.2704,0.2043,0.0661,0.2982,1,76.97,1109.66,0.2982,2015-01,2015
2015-01-24,Kenny Robertson,Sultan Aliev,1,Kenny Robertson,2.65,14.6,0.4101,0.3723,0.0379,0.0869,1,24.09,1133.75,0.0869,2015-01,2015
2015-01-24,Nikita Krylov,Stanislav Nedkov,1,Nikita Krylov,1.769,56.69,0.6522,0.5427,0.1094,0.1539,1,43.61,1177.36,0.1539,2015-01,2015
2015-01-24,Phil Davis,Ryan Bader,1,Phil Davis,1.526,32.35,0.6931,0.6431,0.05,0.0578,0,-32.35,1145.02,0.0578,2015-01,2015
2015-01-31,Rafael Natal,Tom Watson,1,Rafael Natal,1.741,25.78,0.6128,0.5638,0.049,0.0667,1,19.1,1164.11,0.0667,2015-01,2015
2015-01-31,Richardson Moreira,Ildemar Alcantara,1,Richardson Moreira,2.45,21.52,0.4519,0.4017,0.0502,0.1072,0,-21.52,1142.59,0.1072,2015-01,2015
2015-01-31,Joe Lauzon,Al Iaquinta,1,Joe Lauzon,2.7,8.41,0.3889,0.3633,0.0256,0.05,0,-8.41,1134.19,0.05,2015-01,2015
2015-01-31,Miesha Tate,Sara McMann,1,Miesha Tate,2.65,31.85,0.4473,0.3723,0.0751,0.1854,1,52.56,1186.75,0.1854,2015-01,2015
2015-01-31,Jordan Mein,Thiago Alves,1,Jordan Mein,1.714,48.43,0.6513,0.573,0.0784,0.1166,0,-48.43,1138.32,0.1166,2015-01,2015
2015-02-14,Benson Henderson,Brandon Thatch,1,Benson Henderson,2.55,9.02,0.4114,0.3864,0.025,0.0491,1,13.98,1152.3,0.0491,2015-02,2015
2015-02-14,Michel Prazeres,Kevin Lee,2,Kevin Lee,1.645,22.45,0.6384,0.5983,0.0401,0.0503,1,14.48,1166.78,0.0503,2015-02,2015
2015-02-22,Antonio Silva,Frank Mir,1,Antonio Silva,1.645,26.1,0.6429,0.5983,0.0447,0.0577,0,-26.1,1140.68,0.0577,2015-02,2015
2015-02-22,Jessica Andrade,Marion Reneau,1,Jessica Andrade,1.37,75.3,0.8011,0.7175,0.0836,0.0978,0,-75.3,1065.38,0.0978,2015-02,2015
2015-02-22,Edson Barboza,Michael Johnson,1,Edson Barboza,1.741,18.9,0.6047,0.5638,0.0409,0.0526,0,-18.9,1046.48,0.0526,2015-02,2015
2015-02-22,Douglas Silva de Andrade,Cody Gibson,1,Douglas Silva de Andrade,3.25,6.29,0.3243,0.3023,0.022,0.0541,1,14.16,1060.64,0.0541,2015-02,2015
2015-02-28,Dhiego Lima,Tim Means,1,Dhiego Lima,2.5,29.04,0.4657,0.3939,0.0718,0.1643,0,-29.04,1031.59,0.1643,2015-02,2015
2015-02-28,Masio Fullen,Alex Torres,1,Masio Fullen,2.05,10.61,0.5089,0.477,0.0319,0.0432,1,11.14,1042.73,0.0432,2015-02,2015
2015-02-28,James Krause,Valmir Lazaro,1,James Krause,1.5,21.48,0.6941,0.6552,0.039,0.0412,0,-21.48,1021.24,0.0412,2015-02,2015
2015-02-28,Jake Ellenberger,Josh Koscheck,1,Jake Ellenberger,1.714,41.22,0.6506,0.573,0.0777,0.1153,1,29.45,1050.69,0.1153,2015-02,2015
2015-03-14,Larissa Pacheco,Germaine de Randamie,1,Larissa Pacheco,1.8,52.67,0.6447,0.5443,0.1004,0.1604,0,-52.67,998.02,0.1604,2015-03,2015
2015-03-14,Elias Theodorou,Roger Narvaez,1,Elias Theodorou,1.299,35.59,0.8029,0.7572,0.0457,0.0426,1,10.62,1008.64,0.0426,2015-03,2015
2015-03-21,Bentley Syler,Fredy Serrano,1,Bentley Syler,2.35,21.1,0.4736,0.4118,0.0618,0.113,0,-21.1,987.54,0.113,2015-03,2015
2015-03-21,Leonardo Mafra,Cain Carrizosa,1,Leonardo Mafra,1.588,23.0,0.6641,0.6115,0.0526,0.0548,1,13.53,1001.07,0.0548,2015-03,2015
2015-04-04,Liz Carmouche,Lauren Murphy,1,Liz Carmouche,2.0,10.94,0.5219,0.4783,0.0436,0.0437,1,10.94,1012.01,0.0437,2015-04,2015
2015-04-04,Dustin Poirier,Diego Ferreira,1,Dustin Poirier,1.667,24.26,0.6384,0.5798,0.0585,0.0639,1,16.18,1028.18,0.0639,2015-04,2015
2015-04-11,Damian Stasiak,Yaotzin Meza,1,Damian Stasiak,1.741,41.53,0.6432,0.5526,0.0906,0.1197,0,-41.53,986.66,0.1197,2015-04,2015
2015-04-11,Daniel Omielanczuk,Anthony Hamilton,1,Daniel Omielanczuk,1.741,16.73,0.6033,0.5526,0.0507,0.0502,0,-16.73,969.93,0.0502,2015-04,2015
2015-04-11,Marcin Bandel,Stevie Ray,1,Marcin Bandel,2.35,10.79,0.4511,0.4118,0.0393,0.06,0,-10.79,959.14,0.06,2015-04,2015
2015-04-11,Izabela Badurek,Aleksandra Albu,1,Izabela Badurek,2.85,11.62,0.3823,0.3364,0.046,0.0897,0,-11.62,947.52,0.0897,2015-04,2015
2015-04-11,Pawel Pawlak,Sheldon Westcott,1,Pawel Pawlak,2.9,20.06,0.4003,0.331,0.0693,0.1609,1,38.12,985.63,0.1609,2015-04,2015
2015-04-11,Bartosz Fabinski,Garreth McLellan,1,Bartosz Fabinski,1.741,25.78,0.619,0.5526,0.0664,0.0775,1,19.1,1004.73,0.0775,2015-04,2015
2015-04-11,Taylor Lapilus,Rocky Lee,1,Taylor Lapilus,1.667,29.65,0.6472,0.5798,0.0674,0.0787,1,19.77,1024.5,0.0787,2015-04,2015
2015-04-18,Ovince Saint Preux,Patrick Cummins,1,Ovince Saint Preux,1.952,21.13,0.5524,0.4892,0.0633,0.0786,1,20.13,1044.62,0.0786,2015-04,2015
2015-04-25,Nordine Taleb,Chris Clements,1,Nordine Taleb,1.476,33.6,0.7189,0.6507,0.0682,0.0613,1,16.0,1060.63,0.0613,2015-04,2015
2015-04-25,Alexis Davis,Sarah Kaufman,1,Alexis Davis,2.78,9.85,0.3835,0.3451,0.0384,0.0661,1,17.53,1078.16,0.0661,2015-04,2015
2015-05-09,Bec Rawlings,Lisa Ellis,1,Bec Rawlings,1.455,31.68,0.7242,0.6581,0.0661,0.0534,1,14.4,1092.56,0.0534,2015-05,2015
2015-05-09,Jake Matthews,James Vick,1,Jake Matthews,1.526,39.78,0.7054,0.6345,0.0709,0.0767,0,-39.78,1052.78,0.0767,2015-05,2015
2015-05-09,Stipe Miocic,Mark Hunt,1,Stipe Miocic,1.426,50.51,0.7588,0.6742,0.0846,0.0817,1,21.49,1074.27,0.0817,2015-05,2015
2015-05-16,Tae Hyun Bang,Jon Tuck,1,Tae Hyun Bang,2.9,6.22,0.36,0.331,0.029,0.044,0,-6.22,1068.05,0.044,2015-05,2015
2015-05-16,Mark Eddiva,Levan Makashvili,1,Mark Eddiva,4.2,4.42,0.2507,0.2303,0.0205,0.053,0,-4.42,1063.63,0.053,2015-05,2015
2015-05-16,Phillipe Nover,Yui Chul Nam,1,Phillipe Nover,2.35,20.28,0.4694,0.4118,0.0576,0.103,1,27.38,1091.01,0.103,2015-05,2015
2015-05-16,Li Jingliang,Dhiego Lima,1,Li Jingliang,2.3,10.68,0.4569,0.427,0.0299,0.0509,1,13.88,1104.89,0.0509,2015-05,2015
2015-05-16,Roldan Sangcha'an,Jon Delos Reyes,1,Roldan Sangcha'an,2.3,23.26,0.4824,0.4202,0.0622,0.1095,0,-23.26,1081.64,0.1095,2015-05,2015
2015-05-16,Zhang Lipeng,Kajan Johnson,1,Zhang Lipeng,1.87,26.57,0.5806,0.5108,0.0698,0.0854,0,-26.57,1055.07,0.0854,2015-05,2015
2015-05-23,Anthony Johnson,Daniel Cormier,1,Anthony Johnson,1.833,33.11,0.6025,0.5217,0.0808,0.1046,0,-33.11,1021.96,0.1046,2015-05,2015
2015-05-30,Lucas Martins,Mirsad Bektic,1,Lucas Martins,4.45,5.72,0.2421,0.2169,0.0252,0.0773,0,-5.72,1016.23,0.0773,2015-05,2015
2015-05-30,Francimar Barroso,Ryan Jimmo,1,Francimar Barroso,3.35,8.18,0.3211,0.2893,0.0318,0.0756,1,19.22,1035.45,0.0756,2015-05,2015
2015-05-30,Jussier Formiga,Wilson Reis,1,Jussier Formiga,1.952,12.67,0.5361,0.4892,0.0469,0.0466,1,12.07,1047.52,0.0466,2015-05,2015
